iter	Logloss
0	0.6903011922
1	0.6872951474
2	0.6843927145
3	0.6817799544
4	0.6784093966
5	0.6762662736
6	0.6743177299
7	0.6725645275
8	0.6707052808
9	0.6688131154
10	0.6669115814
11	0.6654274636
12	0.6644110252
13	0.6630404753
14	0.6617857273
15	0.6608281681
16	0.6587525332
17	0.6578409189
18	0.6570232172
19	0.6563202873
20	0.6547795728
21	0.6537862586
22	0.6530423348
23	0.6514960687
24	0.6508474728
25	0.6501963558
26	0.649629906
27	0.6487835454
28	0.6479967812
29	0.6473030717
30	0.6467768303
31	0.6455394611
32	0.6449856082
33	0.6444984408
34	0.6437987045
35	0.6432135141
36	0.642743971
37	0.6418854698
38	0.6413565059
39	0.640971485
40	0.6405899546
41	0.6400215406
42	0.6396833486
43	0.6392469972
44	0.6388795288
45	0.6385188958
46	0.638007195
47	0.6375232523
48	0.6372354396
49	0.6368259381
50	0.6364238317
51	0.63604349
52	0.6351823086
53	0.6347200106
54	0.6343779258
55	0.633997342
56	0.6335950508
57	0.6329577321
58	0.6326516791
59	0.6323624865
60	0.6320344918
61	0.6316797017
62	0.6314332458
63	0.631211088
64	0.6300526422
65	0.6297797104
66	0.6295127166
67	0.6288927958
68	0.6286574969
69	0.6283767991
70	0.6282244594
71	0.627963232
72	0.6276676691
73	0.6268099692
74	0.626483206
75	0.6262827063
76	0.6260983439
77	0.6258894259
78	0.6254962733
79	0.6252683996
80	0.6251150175
81	0.6247695703
82	0.6246381927
83	0.6244133036
84	0.6242075415
85	0.6238205327
86	0.6227851534
87	0.6225504911
88	0.6224223467
89	0.6222182122
90	0.6219374623
91	0.6212319578
92	0.621055165
93	0.620900648
94	0.6190515786
95	0.618804053
96	0.6182048243
97	0.6180092162
98	0.617837258
99	0.6175164823
