Model,CV_Mean,Mean_Diff,t_statistic,p_value,significant
SMOTE + SVM,0.825925925925926,-0.007407407407407418,-0.6882472016116836,0.5086464915963456,False
PolyFeatures + SVM,0.8074074074074075,-0.025925925925925908,-1.7685190342396921,0.11076492156976685,False
Bayesian-Opt SVM,0.8185185185185185,-0.014814814814814836,-2.449489742783178,0.03678749787978613,True
MKL-SVM,0.7518518518518519,-0.08148148148148149,-4.125,0.0025786389436393015,True
Nystroem-SVM,0.8444444444444444,0.011111111111111072,0.9999999999999999,0.34343639613791355,False
